Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Diflubenzuron;Piriproxyfen;Etocinque;Amplat;Proxilar;Exit 100;Veloxidin;Porter;AcquaPy;Roltab;Cipekill EC;Aqua k-othrine;Sumilarv;Bifemite;Cymina plus;Sandokan ?;Rotryn 200;Diflox;Microsin;Juvenox sc 15;Cyperbase;Permebase;Permex 22 E;Cipex 10 E;Bio Revanol;Rotryn 50;Green larv;Flubex;Garban;Tator;Pertrin S;Vectobac dt;B. Thuringensis;Permaplus;Cipertrin;Solfac;Nexa;K othrine flow 25;Device TB 2;Ekoset;Difenax ?;Olio neem;Piretro;K othrine AL;Metoprene;Delta Super;Cidomax;Decapy flow;Deltrin flow;Skcetal ?;Altogran;Deltabios;Fenthrin;Ciperwall;Aedex;Adicip 10;Zammo ?;Wacip 1000;Zagorp ?;Romal 65;Baycidal;Deadyna;Boxtar;Petrini L;Cipermetrina;Tetrametrina;Pluricid;Murelle;Permetrina;Permesol;Sandokan Bio Tiger;Delta Kill Flow;Tetraprem ABD;Toolex;Crackdown Rapid;Crackdown Ultra
Via Valerio Flacco 1/11 Via Tarquinio Collatino 16;;RM;Roma;7;Italia;?;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Andrea Pitti 10;00147;RM;Roma;8;Italia;Larvicida e adulticida;4;4;mag-14;set-14;11/06/2014;set-14;mensile;mensile;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Oceano Atlantico 18;00144;RM;Roma;9;Italia;Larvicida e adulticida;8;2;01/04/2014;31/10/2014;30/06/2014;20/08/2014;3 settimane;due volte;;;;x;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giuseppe Rosaccio 69-77;00156;RM;Roma;4;Italia;Larvicida e adulticida;3;3;ago-14;ott-14;ago-14;ott-14;4 settimane;4 settimane;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della fotografia 204;00142;RM;Roma;8;Italia;Larvicida e adulticida;4;4;01/06/2014;30/09/2014;01/06/2014;30/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Louis Daguerre 22-24;00142;RM;Roma;8;Italia;Larvicida e adulticida;4;4;01/06/2014;30/09/2014;01/06/2014;30/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Annia Faustina 54;;RM;Roma;1;Italia;Larvicida e adulticida;4;4;28/05/2014;30/09/2014;28/05/2014;30/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Annia Faustina 56 - 54/a;;RM;Roma;1;Italia;Larvicida e adulticida;4;4;28/05/2014;30/09/2014;28/05/2014;30/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Baccio Pontelli 16;;RM;Roma;1;Italia;Larvicida e adulticida;4;4;28/05/2014;30/09/2014;28/05/2014;30/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Aventina 20;;RM;Roma;1;Italia;Larvicida e adulticida;4;4;28/05/2014;30/09/2014;28/05/2014;30/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
