LM	Testo a stampa (moderno)	B3	BIBLIOTECA FLAMINIA	27511	28309
LM	Testo a stampa (moderno)	BR	BIBLIOTECA CENTRALE PER RAGAZZI	31107	36884
LM	Testo a stampa (moderno)	C1	BIBLIOTECA TULLIO DE MAURO	15390	15767
LM	Testo a stampa (moderno)	D1	BIBLIOTECA ENNIO FLAIANO	22208	23362
LM	Testo a stampa (moderno)	E1	BIBLIOTECA VACCHERIA NARDI	26257	27512
LM	Testo a stampa (moderno)	F1	BIBLIOTECA GOFFREDO MAMELI	22160	23129
LM	Testo a stampa (moderno)	F2	BIBLIOTECA PENAZZATO	19017	19427
LM	Testo a stampa (moderno)	G1	BIBLIOTECA GIANNI RODARI	30121	31858
LM	Testo a stampa (moderno)	H1	BIBLIOTECA RUGANTINO	21613	22129
LM	Testo a stampa (moderno)	I1	BIBLIOTECA NELSON MANDELA	30403	32332
LM	Testo a stampa (moderno)	L1	BIBLIOTECA RAFFAELLO	21318	21985
LM	Testo a stampa (moderno)	M1	BIBLIOCAFFE' LETTERARIO	5193	5285
LM	Testo a stampa (moderno)	N1	BIBLIOTECA PIER PAOLO PASOLINI	31109	32825
LM	Testo a stampa (moderno)	O2	BIBLIOTECA ELSA MORANTE	38150	39893
LM	Testo a stampa (moderno)	Q1	BIBLIOTECA GUGLIELMO MARCONI	62493	67393
LM	Testo a stampa (moderno)	Q2	BIBLIOTECA RENATO NICOLINI	22313	22771
LM	Testo a stampa (moderno)	R1	BIBLIOTECA COLLI PORTUENSI	26642	27899
LM	Testo a stampa (moderno)	R2	BIBLIOTECA LONGHENA	15759	16408
LM	Testo a stampa (moderno)	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	11160	11728
LM	Testo a stampa (moderno)	S1	BIBLIOTECA GIORDANO BRUNO	19553	19984
LM	Testo a stampa (moderno)	T1	BIBLIOTECA VALLE AURELIA	29707	30597
LM	Testo a stampa (moderno)	T2	BIBLIOTECA CORNELIA	30019	31436
LM	Testo a stampa (moderno)	U1	BIBLIOTECA FRANCO BASAGLIA	38297	39630
LM	Testo a stampa (moderno)	V1	BIBLIOTECA GALLINE BIANCHE	19689	20937
LM	Testo a stampa (moderno)	WF	BIBLIOTECA WWF ITALIA P.L.FLORIO	5401	5706
LM	Testo a stampa (moderno)	Z1	REGINA COELI SEZIONE 3	1222	1289
LM	Testo a stampa (moderno)	Z2	REGINA COELI SEZIONE 4	408	416
LM	Testo a stampa (moderno)	Z3	REGINA COELI SEZIONE 6	5503	6697
