NUMERO ESERCIZIO;DATA INIZIO;CODICE_VIA;DESCRIZIONE VIA;CIVICO;ESP CIVICO;SUPERFICIE TOTALE;CODICE MACRO ATTIVITA;DESCRIZIONE ATTIVITA;TIPO ATTIVITA;DESCRIZIONE ATTIVITA;CODICE SPECIALIZZAZIONE;DESCRIZIONE SPECIALIZZAZIONE;SETTORE ALIMENTARE;SETTORE NON ALIMENTARE
6604;20130509;46684;VIA GABRIELLA DEGLI ESPOSTI;79; ;36.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6605;20121128;12834;VIA DELLA BALDUINA;214; ;32.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6606;20130315;102872;VIA DELLA STORTA;701; ;24.0;3;PUBBLICI ESERCIZI;25;SOMM. SCUOLE,OSPEDALI (LR 21/2006 ART. 6 c.1 l.h);0;; ; 
6607;20130514;54845;VIA GIUSEPPE BENEDETTO DUSMET;5; ;29.91;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6608;20130510;12825;PIAZZA DELLA BALDUINA;7; ;65.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6609;20130518;33484;VIA DIANO MARINA;92; ;21.58;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;12;LABORATORIO ODONTOTECNICO; ; 
6610;20130418;11817;VIA AUGUSTO TAMBURINI;6;B;12.36;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6611;20130418;11817;VIA AUGUSTO TAMBURINI;6;B;14.76;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6613;20130529;134981;LARGO FRANCESCO VITO;1; ;19958.0;3;PUBBLICI ESERCIZI;25;SOMM. SCUOLE,OSPEDALI (LR 21/2006 ART. 6 c.1 l.h);0;; ; 
6614;20130429;59093;VIA S. IGINO PAPA;14; ;164.0;3;PUBBLICI ESERCIZI;27;SOMM. CIRC. PRIV. ADERENTI  ENTI NAZ.(DPR 235/'01);0;; ; 
