SEDE;MUNICIPIO;MACROSTRUTTURA;SEDE DOTATA DI HOT SPOT DIGITROMA WIFI
P. DE CUPIS CESARE, 20;Municipio V;Municipio V;GESMUNDO G. ELEM.P. DE CUPIS, 20
VL. PARTENOPE, 55;Municipio V;Municipio V;GIOVANNI XXIII ELEM. - SUCC. VIA GIULIAVL. PARTENOPE, 55
VL. VALENTE GIOV.BATTISTA, 100;Municipio V;Municipio V;IST. COMPR. SC. EL. BOCCA LEONE VL. VALENTE GIOV.BATTISTA, 100
V. PIGNETO, 301/A;Municipio V;Municipio V;IST. COMPR. SCU. EL. E.DE AMICIS SUCC. DE MAGISTRIS V. PIGNETO, 301/A
V. CAMPO, 57;Municipio V;Municipio V;MARCONI G. ELEM. V. DEL CAMPO, 57
V. TOR DE SCHIAVI, 175;Municipio V;Municipio V;MASSAIA G. MEDIA V. TOR DE SCHIAVI, 175
V. DELIA, 46;Municipio V;Municipio V;MEDIA S. D'ACQUISTO SUCC. VIA COLLATINA V. DELIA, 46
V. PERGOLATO, 112;Municipio V;Municipio V;PARRI F. SUCC. MEDIA SUCC. V. OLCESE V. PERGOLATO, 112
V. DE CHIRICO GIORGIO, 59;Municipio V;Municipio V;PIAGET J. I.P.S.S.S. SUCC. VIA M. F. NOBILIORE V. DE CHIRICO GIORGIO, 59
V. ARETUSA, 5;Municipio V;Municipio V;SC. ELEM. 117ø C.LO MASSIMO TROISI V. ARETUSA, 5
V. OLCESE VITTORIO, 16;Municipio V;Municipio V;SC. ELEM. 34 ø C.LO MADRE TERESA DI CALCUTTA V. OLCESE VITTORIO, 16
V. GHINI LUCA, 58;Municipio V;Municipio V;SC. MED. FEDRO SUCC. APPIO CHIERIGATTI V. GHINI LUCA, 58
L. APPIO CHIEREGATTI, 21;Municipio V;Municipio V;SCU ELEM SILLA ALERAMO SUCC.VIA OLCESEL. APPIO CHIEREGATTI, 21
VIA RENZO DA CERI 103;Municipio V;Municipio V;SCUOLA MEDIA STATALE G.B.PIRANESI VIA RENZO DA CERI 103
V. ANAGNI, 48;Municipio V;Municipio V;TRILUSSA ELEM. V. ANAGNI, 48
V. CARPINETO, 11;Municipio V;Municipio V;WOOLF V. SUCC. IST.PROF.V. CARPINETO, 11
V. ALBERTO DA GIUSSANO, 54;Municipio V;Municipio V;"Istuto Comprensivo ""Via dal Verme"""
P. ZAMBECCARI F., 19;Municipio V;Municipio V;Kant liceo ginn.         
Via dell'Archeologia 139;Municipio VI;Municipio VI;ISTITUTO COMP. VIA DELL'ARCHEOLOGIA PLESSO SCUOLA MEDIA VIA DELL'ARCHEOLOGIA 139
Via Amico Aspertini 325;Municipio VI;Municipio VI;ISTITUTO COMP. VIA DELL'ARCHEOLOGIA PLESSO ASPERTINI VIA AMICO ASPERTINI 325
V. ACQUARONI, 53;Municipio VI;Municipio VI;SC. ELEM. 171ø C.LO SALVATORE VALITUTTI V. ACQUARONI, 53
V. ALZAVOLE, 21;Municipio VI;Municipio VI;SC. ELEM. L. VOLPICELLI V. ALZAVOLE, 21
V. BELON PIETRO, 150;Municipio VI;Municipio VI;SC. MED. G. FATTORI SUCC. MEDIA VIA RUGANTINO V. BELON PIETRO, 150
V. CALIMERA, 133;Municipio VI;Municipio VI;ROMERO O. ELEM. SUCC. 184ø C.LO V. CALIMERA, 133
V. GIAQUINTO ADOLFO, 24;Municipio VI;Municipio VI;DE SANCTIS F. ELEM.SUCC. VIA E. MACRO V. GIAQUINTO ADOLFO, 24
Viale dei Consoli 16;Municipio VII;Municipio VII;186ø CIRCOLO GIACOMO PUCCINI ELEMENTARE G. PUCCINI VIALE DEI CONSOLI 16
Via Lemonia 226;Municipio VII;Municipio VII;SCUOLA ELEM.E MATERNA DON F.RINALDI ELEMENTARE DON FILIPPO RINALDI VIA LEMONIA 226
V. AMANTEA, 1;Municipio VII;Municipio VII;APPIO CLAUDIO ELEM. SUCC. VIA DEL CALICE V. AMANTEA, 1
V. CALICE, 34/I;Municipio VII;Municipio VII;APPIO CLAUDIO ELEM. V. CALICE, 34/I
V. CARLO FADDA, 93;Municipio VII;Municipio VII;IS. COMPR. SC. ELEM. SUCC. M. BOSCO V. CARLO FADDA, 93
V. FONTANILE ANAGNINO, 123/D;Municipio VII;Municipio VII;IST. COMPR. SCU ELEM. F. ANAGNINO V. DEL FONTANILE ANAGNINO, 123/D
V. FONTANILE ANAGNINO, 123;Municipio VII;Municipio VII;IST. COMPR. SC. MEDIA. A. MAGNANI V. DEL FONTANILE ANAGNINO, 123
VL. GIOVANNI BOSCO SAN, 125;Municipio VII;Municipio VII;ELEM. ANTONIO DE CURTIS VL. S. GIOVANNI BOSCO, 125
Largo Beato Placido Riccardi 13;Municipio VIII;Municipio VIII;ISTITUTO TECNICO STATALE G. ARMELLINI LARGO BEATO PLACIDO RICCARDI 13
V. BENEDETTO CROCE, 48/D;Municipio VIII;Municipio VIII;B. CROCE ELEM. SUCC. POGGIO AMENO V. BENEDETTO CROCE, 48/D
V. DA VINCI L., 19;Municipio VIII;Municipio VIII;"Istituto Comprensivo ""R. Morzenti"""
V. DI BONAIUTO ANDREA, 16;Municipio VIII;Municipio VIII;MONTEZEMOLO G. MEDIA V. DI BONAIUTO ANDREA, 16
V. MACINGHI STROZZI ALESSANDRA, 51;Municipio VIII;Municipio VIII;IST. COMPR. SC. MED. VIVALDI ANTONIO V. MACINGHI STROZZI ALESSANDRA, 51
V. NISTRI UMBERTO, 11;Municipio VIII;Municipio VIII;LICEO GINN. PLATONE V. NISTRI UMBERTO, 11
VL. ODESCALCHI CARLO TOMM., 75;Municipio VIII;Municipio VIII;"IST.TEC. COMM. "" ILARIA ALPI "" VL. ODESCALCHI CARLO TOMM., 75"
V. PADRE REGINALDO GIULIANI, 15;Municipio VIII;Municipio VIII;SOCRATE LICEO GINNASIO V. PADRE REGINALDO GIULIANI, 15
V. PADRE SEMERIA, 28;Municipio VIII;Municipio VIII;I.C. Via Padre Semeria
V. PINCHERLE SALVATORE, 140;Municipio VIII;Municipio VIII;TEMPESTA L. SC. ELEM. V. PINCHERLE SALVATORE, 140
V. POGGIO AMENO, 23;Municipio VIII;Municipio VIII;POGGIALI MAURIZIO SCU. ELEM. MAT. TORRE DI BABELE V. POGGIO AMENO, 23
V. SALVATORE DI GIACOMO, 13;Municipio VIII;Municipio VIII;SETTIMIA SPIZZICHINO SCU. MEDIA V. SALVATORE DI GIACOMO, 13
V. SETTE CHIESE, 259;Municipio VIII;Municipio VIII;ROUSSEAU J.J. IST.ISTR. SUP. V. SETTE CHIESE, 259
V. SEVERO ALESSANDRO, 212;Municipio VIII;Municipio VIII;ST.PROF. SUCC. T. CONFALONIERI V. SEVERO ALESSANDRO, 212
V. TINTORETTO, 371;Municipio VIII;Municipio VIII;IST. COMPR. TRE FONTANE ELEM. SUCC. V. DI BONAIUTO V. TINTORETTO, 371
V. TOR CARBONE, 218;Municipio VIII;Municipio VIII;Ist. alberghiero succ. tor carbone
VL. AFRICA, 109;Municipio IX;Municipio IX;RUIZ A. IST.TECN.COMM.LE VL. AFRICA, 109
VL. BEATA VER. DEL CARMELO, 35;Municipio IX;Municipio IX;SC. MEDIA V. BACHELET SUCC. V. CAMILLO SABATINI,35 VL. BEATA VER. DEL CARMELO, 35
L. BUZZATI DINO, 15;Municipio IX;Municipio IX;SC. ELEM. SUCC. 75ø C.LO EUR LG. DINO BUZZATI, 15
P. CERVA LUDOVICO, 45;Municipio IX;Municipio IX;"IST. COMPR. SC. ELEM. "" BOLTAR""P. CERVA LUDOVICO, 45"
V. CHIARINI LUIGI, 400;Municipio IX;Municipio IX;SCU. 191 C.LO SUCC. MARIA BADALONI V. LUIGI CHIARINI, 400
V. CINA, 4;Municipio IX;Municipio IX; RICCI MATTEO ELEM.V. CINA, 4
VL. CIVILTA' DEL LAVORO, 4;Municipio IX;Municipio IX;
V. CORAZZIERI, 110;Municipio IX;Municipio IX;TOSI G. ELEM.V. CORAZZIERI, 110
V. COSTELLAZIONI, 369;Municipio IX;Municipio IX;IST. COMPR. MED. BACHELET SUCC. CAMILLO SABATINI V. COSTELLAZIONI, 369
V. DIVISIONE TORINO, 119;Municipio IX;Municipio IX; IST. COMPR. SC. MED. BATTISTI C. SUCC. P.ZA L. CERVA V. DIVISIONE TORINO, 119
V. ELETTRONICA, 3;Municipio IX;Municipio IX;E.U.R. ELEM. V. DELL'ELETTRONICA, 3
V. FONTE MERAVIGLIOSA, 79;Municipio IX;Municipio IX;IST. COMPR. SC. MED. PURIFICATO D.V. FONTE MERAVIGLIOSA, 79
V. FRIGNANI GIOVANNI, 97;Municipio IX;Municipio IX;SPINACETO 3ø COMPL. ELEM.V. FRIGNANI GIOVANNI, 97
V. GADDA CARLO EMILIO, 80;Municipio IX;Municipio IX;
V. GIGLIOZZI ROMOLO, 35;Municipio IX;Municipio IX;RESPIGHI O. MEDIA SUCC. V. RENZINI V. GIGLIOZZI ROMOLO, 35
V. INCHIOSTRI UGO, 108;Municipio IX;Municipio IX;IST. COMPR.SC. VIGNA MURATA SUCC. F. MERAVIGLIOSA V. INCHIOSTRI UGO, 108
