INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
DOMUS ELIDE;Categoria 1;VIA CANDIA, 121;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
AI MUSEI C & C;Categoria 1;VIA MARCANTONIO BRAGADIN, 75;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE PASCAL HOUSE;Categoria 1;VIA CARLO PASCAL, 22;Mun. XIII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
DIMORAPETRI;Categoria 1;VIA DELLE FORNACI, 48;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
SUNRISE IN ROME HOLIDAYS CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA BERNARDINO TELESIO, 16;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE STELLA TREVI APARTMENT;Categoria 2;VIA DI S. BASILIO, 55;Mun. I;Casa Vacanze NON impr (Appartamento);;3;;;;;3;6;0;0
H2in Rome - Tuscolano;Categoria 2;VIA PALLANTE, 15;Mun. VII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
LE PETITE SISSI;Categoria 1;VIALE VATICANO, 48;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
RO&MA Casa Vacanze;Categoria 2;CIRCONVALLAZIONE NOMENTANA, 564;Mun. II;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CorsoItalia 106;Categoria 2;CORSO D'ITALIA, 106;Mun. II;Casa Vacanze NON impr (Appartamento);1;3;;;;;4;7;0;0
CASA E APPARTAMENTO PER VACANZE L'APPARTAMENTO DI DOROTA;Categoria 1;VIA PROSPERO SANTACROCE, 85;Mun. XIII;Casa Vacanze NON impr (Appartamento);1;;;;;;1;1;0;0
SOUVENIR D'ITALIE;Categoria 2;VIA DELLA CAVA AURELIA, 82;Mun. XIII;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
BANCHI CHARME;Categoria 2;VIA DEI BANCHI NUOVI, 3;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
COZY MARGUTTA;Categoria 2;VIA DEL BABUINO, 46;Mun. I;Casa Vacanze NON impr (Appartamento);1;;;;;;1;1;0;0
LA SUITE DI TRASTEVERE;Categoria 2;VIA ENRICO FERMI, 15;Mun. XI;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
PRATI CHARME;Categoria 1;VIA GERMANICO, 166;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
COZY VENETO;Categoria 2;VIA LUDOVISI, 35;Mun. I;Casa Vacanze NON impr (Appartamento);;5;;;;;5;10;0;0
DA GIULIA BED & BREAKFAST;Categoria 2;VIA DELLE CAVE, 136;Mun. VII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
MAISON REGINA;Categoria 1;VIA DI PROPAGANDA, 27;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
Residenza Napoleone Ruspoli;Categoria 2;VIA DEL CORSO, 287;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
CASA E APPARTAMENTO PER VACANZE SIMON'S FLAT;Categoria 2;VIA VETULONIA, 63;Mun. VII;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
Mecenate Charme;Categoria 2;VIA MECENATE, 77;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
SAN MARTINO VIEW AT MONTI - CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DI S. MARTINO AI MONTI, 66;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
Cozy Corallo;Categoria 2;VIA SORA, 23;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
PORTA PORTESE APT;Categoria 2;VIA ETTORE ROLLI, 15;Mun. XII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
POP HOUSE;Categoria 2;VIA TRONTO, 10;Mun. II;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
COZY CAVOUR;Categoria 1;VIA CAVOUR, 295;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA DELBA;Categoria 1;VIA CHIAVENNA, 30;Mun. XV;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
AMEDEO APARTMENT;Categoria 2;VIA PRINCIPE AMEDEO, 175;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
IANNY'S CASA E APPARTAMENTO PER VACANZE;Categoria 1;VIA DOMENICO MILLELIRE, 33;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
ROME HOLIDAY HOUSE VATICAN VIEW;Categoria 2;VIA S. SILVERIO, 3;Mun. XIII;Casa Vacanze NON impr (Appartamento);0;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE TRASTEVERE CHARME;Categoria 2;VIA DEL PORTO, 3;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;4
CASA E APPARTAMENTO PER VACANZE STUDIO HOUSE ROME;Categoria 1;VIA LUCHINO DAL VERME, 116;Mun. V;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
PANTHEON OLD SUITE - CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DELLA STELLETTA, 9;Mun. I;Casa Vacanze NON impr (Appartamento);;1;1;1;;;3;9;0;0
CASA E APPARTAMENTO PER VACANZE -CASA EMMA;Categoria 2;VIA DEI BALESTRARI, 10/A;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
FOUR SEASON TERMINI - CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIALE MANZONI, 101;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CELSA CASA E APPARTAMENTO PER VACANZE VATICANO;Categoria 2;VIALE PLATONE, 25;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
SIMONETTA'S HOUSE;Categoria 2;VIA ACQUA DONZELLA, 27;Mun. VII;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
DECO'DOMUS;Categoria 2;VIA NAZIONALE, 18;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
GIANICOLO GUEST HOUSE CASA E APPARTAMENTO PER VACANZE;Categoria 1;VIA RAFFAELLO GIOVAGNOLI, 24;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE OPEN SPACE OTTAVIANO SAN PIETRO;Categoria 1;VIA GERMANICO, 66;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;4
CASA E APPARTAMENTO PER VACANZE SOFIA- BATTISTINI;Categoria 2;VIA ENNIO BONIFAZI, 58;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
BB VATCAN APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIALE DEGLI AMMIRAGLI, 67;Mun. I;Casa Vacanze NON impr (Appartamento);1;;2;;;;3;7;0;0
CASA E APPARTAMENTO PER VACANZE DOMUS VATICANA;Categoria 1;VIA AURELIA, 137;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE  MAURY;Categoria 2;VIA ULISSE DINI, 13;Mun. XI;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
CASA E APPARTAMENTO PER VACANZE - KASALINA;Categoria 2;VIA DI ACQUA BULLICANTE, 253;Mun. V;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CASA E APPARTAMENTO PER VACANZE MARIA MONTE;Categoria 2;VIA DEI MARSI, 58;Mun. II;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
CASA E APPARTAMENTO PER VACANZE IL CORTILE;Categoria 1;CIRCONVALLAZIONE APPIA, 25;Mun. VII;Casa Vacanze NON impr (Appartamento);1;;;;;;1;1;0;0
CASA E APPARTAMENTO PER AVCANZE CASA EVELINA;Categoria 1;VIA MERULANA, 13;Mun. I;Casa Vacanze NON impr (Appartamento);2;1;;;;;3;4;0;0
CASA E APPARTAMENTO PER VACANZE IL CEDRO -;Categoria 2;VICOLO DEL CEDRO, 23;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
KNAPP & fRIENDS;Categoria 1;VIA DEI SABELLI, 26;Mun. II;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
luxury city centre apartment;Categoria 2;VIA VITTORIA, 54;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA CERAMICA E CAMINO;Categoria 2;VICOLO DE'CINQUE, 3/A;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CASA LUCA E TETTI;Categoria 2;VICOLO DE'CINQUE, 3/A;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
HOLIDAY HOME IL PIGNETO;Categoria 4;VIA GIOVANNI BRANCALEONE, 20;Mun. V;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
CASA E APPARTAMENTO PER VACANZE -VICOLO 5;Categoria 2;VICOLO DE'CINQUE, 22;Mun. I;Casa Vacanze NON impr (Appartamento);3;1;;;;;4;5;0;0
SHABBY HOME;Categoria 1;VIA S. TOMMASO D'AQUINO, 32;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;4
casa sara;Categoria 2;VIA TARANTO, 95;Mun. VII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE LUCA E ROVENA;Categoria 1;VIALE DI TRASTEVERE, 230;Mun. XII;Casa Vacanze NON impr (Appartamento);1;;;;;;1;1;0;0
STEVE'S HOUSE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA AURELIA, 477/B;Mun. XIII;Casa Vacanze NON impr (Appartamento);;3;;;;;3;6;0;0
CASA E APPARTAMENTO PER VACANZE A.D.1888 PALAZZO CIACCI;Categoria 1;VIA CAVOUR, 96;Mun. I;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
SANT'IVO alla SAPIENZA 2;Categoria 1;VIA DEL TEATRO VALLE, 51;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
La casa e appartamento per vacanze del Borgo Pio;Categoria 2;BORGO PIO, 76;Mun. I;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
terrazza fiorita;Categoria 2;VIA CRISTOFORO COLOMBO, 193;Mun. VIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
vatican & metro house;Categoria 2;VIA CIPRO, 98;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
lUXURY HOME IN CAMPO DEI FIORI;Categoria 2;VIA DI GROTTA PINTA, 46;Mun. I;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
camilla home;Categoria 2;VIA LODOVICO PAVONI, 64;Mun. V;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
"just opposite ""Piazza del popolo""";Categoria 1;PIAZZALE FLAMINIO, 19;Mun. II;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
CASA E APPARTAMENTO PER VACANZE SUNSET HOME;Categoria 2;VIA GASPARE GOZZI, 41;Mun. VIII;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
RESIDENZA VALADIER;Categoria 1;VIA DELLA CROCE, 78/A;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;0;0;0;0;3;5;0;0
MONTI PANORAMIC APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA LEONINA, 21;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
PIRAMIDE HOUSE;Categoria 4;VIA DEI MAGAZZINI GENERALI, 9;Mun. VIII;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
LE ANTICHE FORNACI;Categoria 2;VIA DELLE FORNACI, 103;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
GABI'S ROMAN PLACE;Categoria 2;VIALE DI VALLE AURELIA, 73;Mun. XIII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
GIARDINO ROMANO;Categoria 2;VIALE DI TRASTEVERE, 228;Mun. XII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
GIULIANA SUPERIOR;Categoria 2;VIA EMILIO FAA' DI BRUNO, 24;Mun. I;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
IL GIRO PER ROMA 2;Categoria 2;VIA TIBURTINA, 155;Mun. II;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
CASA E APPARTAMENTO PER VACANZE LELI'S HOUSE;Categoria 2;VIA ANDREA DORIA, 64;Mun. I;Casa Vacanze NON impr (Appartamento);1;;1;;;;2;4;0;0
ART HOUSE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DEL LAGO TERRIONE, 93;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE - MONTI PATIO APARTMENT;Categoria 2;VIA PAOLINA, 30;Mun. I;Casa Vacanze NON impr (Appartamento);;2;0;0;0;0;2;4;0;0
CASA E APPARTAMENTO PER VACANZE MIOB HOLIDAY HOUSE;Categoria 2;VIA ENRICO DAL POZZO, 11;Mun. XI;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
CASA E APPARTAMENTO PER VACANZE CASA FABRUCCI;Categoria 2;VIA SESTO CELERE, 7;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE CAPPELLI;Categoria 2;VICOLO DELLE GROTTE, 20;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
"CASA E APPARTAMENTO PER VACANZE "" YOUR NEST IN TRASTEVERE """;Categoria 2;VIA ODERISI DA GUBBIO, 199;Mun. XI;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
CASA E APPARTAMENTO PER VACANZE - VISTA SU S. CLEMENTE;Categoria 2;VIA DI S. GIOVANNI IN LATERANO, 130;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
VITTORIA LUXURY TERRACE;Categoria 2;VIA DELLA CROCE, 78/A;Mun. I;Casa Vacanze NON impr (Appartamento);1;0;0;0;0;0;1;1;0;0
CASA E APPARTAMENTO PER VACANZA ROMA SAN GIOVANNI HOME;Categoria 1;VIA UMBERTO BIANCAMANO, 31;Mun. I;Casa Vacanze NON impr (Appartamento);1;;1;1;;;3;8;0;0
CASA E APPARTAMENTO PER VACANZE JUBILEE 2;Categoria 2;VIA DELLA GIULIANA, 101;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE -COLISEUM VIEW SUITE;Categoria 2;VIA DEI SS. QUATTRO, 61;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
CASA E APPARTAMENTO PER VACANZE CAMPO MARZIO BELLAVISTA;Categoria 1;VIA DI CAMPO MARZIO, 2;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE - LE GRAZIE;Categoria 2;PIAZZA SIDNEY SONNINO, 25;Mun. I;Casa Vacanze NON impr (Appartamento);;1;2;;;;3;8;0;0
CASA E APPARTAMENTO PER VACANZE PRISCA;Categoria 1;VIA S. BERNADETTE, 6;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
VATICAN ATTIC;Categoria 2;VIA VESPASIANO, 12;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;1;0;0;0;3;6;0;0
CASA E APPARTAMENTO PER VACANZE  RESIDENCE SOLE E LUNA;Categoria 2;PIAZZA DEI GERANI, 9;Mun. V;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
"LA MAISON DANS LE CENTRE DE ROME ""CASA E APPARTAMENTO PER VACANZE""";Categoria 2;VIA DEL BABUINO, 193;Mun. I;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
CASA E APPARTAMENTO PER VACANZE PRATI DREAMHOUSE;Categoria 1;VIA DELLA GIULIANA, 66;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
L'OASI -CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA ASMARA, 28;Mun. II;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
GROTTA PINTA CASA E APPARTAMENTO PER VACANZE -INT.3;Categoria 2;VIA DI GROTTA PINTA, 10;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
GROTTA PINTA CASA E APPARTAMENTO PER VACANZE  - INT.9;Categoria 2;VIA DI GROTTA PINTA, 10;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
MALAGRINO' CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA ERASMO GATTAMELATA, 128;Mun. V;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
DIVINE TERACE APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 2;VICOLO DEL FARINONE, 24;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE THE APARTMENT TRASTEVERE;Categoria 2;VIALE DI TRASTEVERE, 82;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
"CASA E APPARTAMENTO PER VACANZE "" I PLATANI""";Categoria 1;VIA TOMMASO GULLI, 11;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
CASA E APPARTAMENTO PER VACANZE IGEA HOUSE;Categoria 2;VIA IGEA, 19;Mun. XIV;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
ROMAN FORUM SUITE CASA E APPARTAMENTO PER VACANZE;Categoria 1;VIA TOR DE' CONTI, 7;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
"CASA E APPARTAMENTO PER VACANZE "" LOTTO29""";Categoria 2;VIA PASQUALE TOSI, 5;Mun. VIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE DANDY SUITE;Categoria 2;PIAZZA VITTORIO EMANUELE II, 87;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CASA E APPARTAMENTO PER VACANZE DI SERAFINO MEDICI - PONTE MILVIO;Categoria 2;VIA DEGLI ORTI DELLA FARNESINA, 66;Mun. XV;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE campo 13;Categoria 1;VIA DEI CAPPELLARI, 13;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
MARIPOSA APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DEI CARTARI, 39;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE - VILLA ARANCI;Categoria 2;VIA DI S. ANGELA MERICI, 20;Mun. II;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
SIMON CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA ANDREA DORIA, 79;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
ROROROMA CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA VALLARSA, 22;Mun. III;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA SISTINA CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA SISTINA, 37;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
CASA E APPARTAMENTO PER VACANZE DEI QUINTILI;Categoria 1;LARGO DEI QUINTILI, 23;Mun. V;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
funny casa xxxx errore inserimento non imp;Categoria 2;VIA VARESE, 31;Mun. I;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
SAN PIETRO CHARMING CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA DELLA MADONNA DEL RIPOSO, 38;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE .PANISPERNA;Categoria 1;VIA PANISPERNA, 60;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CASA E APPARTAMENTO PER VACANZE JUBILEE 1;Categoria 1;VIA SILVIO PELLICO, 36;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
LA CASA DEI PAPI;Categoria 2;VIA ALBERICO II, 11;Mun. I;Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;3;7;0;0
CASA E APPARTAMENTO PER VACANZE EUPHORIA DI CASA MIA;Categoria 2;VIA SANNIO, 31;Mun. VII;Casa Vacanze NON impr (Appartamento);2;1;;;;;3;4;0;0
CASA E APPARTAMENTO PER VACANZE' CASA MALISTA;Categoria 1;VIA LAGO TANA, 49;Mun. II;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CASA E APPARTAMENTO PER VACANZE I LOVE SAN PIETRO;Categoria 1;VIA GIULIO VENTICINQUE, 23;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE TREVI FOUNTAIN HOUSE DELUXE;Categoria 2;VICOLO SCANDERBEG, 91;Mun. I;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
CASA E APPARTAMENTO PER VACANZE FLORJE HOUSE BY THE VATICAN;Categoria 2;VIA SANTAMAURA, 15;Mun. I;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
"CASA E APPARTAMENTO PER VACANZE "" JOY DOMUS """;Categoria 2;VIA POMEZIA, 9;Mun. VII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
"CASA E APPARTAMENTO PER VACANZE ""VATICAN GARDENS HOUSE""";Categoria 2;VIA RICCARDO GRAZIOLI LANTE, 15/A;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
"""BARNEY'S HOUSE IN ROME""CASA E APPARTAMENTO PER VACANZE";Categoria 2;VICOLO DI GROTTA PERFETTA, 38;Mun. VIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
"CASA E APPARTAMENTO PER VACANZE  ""B.IN ROME""";Categoria 2;PIAZZA BIAGIO PACE, 11;Mun. XII;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
ROMA TERMINI - S.LORENZO;Categoria 1;VIA DEI VOLSCI, 10;Mun. II;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
"CASA E APPARTAMENTO PER VACANZE "" DOMUS REGINA """;Categoria 2;VIA MACEDONIA, 51;Mun. VII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CAMPO DE' FIORI 3;Categoria 2;CAMPO DE' FIORI, 3;Mun. I;Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;1;2;0;0
"CASA E APPARTAMENTO PER VACANZE ""HOLIDAJE ROMA""";Categoria 2;VIA DI VAL TELLINA, 121;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
L'AFFRESCO CASA E APPARTAMENTO PER VACANZE;Categoria 1;RAMPA MIGNANELLI, 12;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
LADYBUG HOUSE;Categoria 2;VIA FRANCESCO CARACCIOLO, 6;Mun. I;Casa Vacanze NON impr (Appartamento);1;;;;;;1;1;0;0
MAZZINI CASA E APPARTAMENTO PER VACANZE HOLIDAY HOUSE;Categoria 1;VIALE GIUSEPPE MAZZINI, 117;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;1;;;2;7;0;0
"CASA E APPARTAMENTO PER VACANZE "" CASA DEI SOGNI""";Categoria 2;VIA CAVOUR, 108;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;1;;;;3;6;0;0
VILLA RELAX LE DUE PALME CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA MONASTERACE, 4;Mun. VII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
"ALE & ANDREA APARTAMENTS CASA E APPARTAMENTO PER VACANZE ""PURPLE""";Categoria 1;VIA BALDO DEGLI UBALDI, 71;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
suite s. pietro per due;Categoria 1;VIA EMILIO FAA' DI BRUNO, 89;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
ROXY'X HOME IN ROME - CASA E APPARTAMENTO PER VACANZE;Categoria 1;VIA COLLAZIA, 2/G;Mun. VII;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
CASA E APPARTAMENTO PER VACANZE LOVELY HOUSE ROME;Categoria 1;VIA VARESE, 5;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
JUBILEE CAIO MARIO CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA CAIO MARIO, 7;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
"CASA E APPARTAMENTO PER VACANZE "" ALFIERI HOME HOLIDAY """;Categoria 1;VIA GIACOMO BARZELLOTTI, 2;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE ROSSELLE;Categoria 2;VIA LIDIA, 2;Mun. VII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE CASA RICA;Categoria 2;VIA GABRIELE CAMOZZI, 9;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
CASA E APPARTAMENTO PER VACANZE SANTA MARIA MAGGIORE VIEW;Categoria 2;PIAZZA DI S. MARIA MAGGIORE, 12;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
ROMAN ROYAL ROOMS MILITES;Categoria 2;VIALE DELLE MILIZIE, 140;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
casa charme;Categoria 1;VIA DI MONTE GIORDANO, 5;Mun. I;Casa Vacanze NON impr (Appartamento);;;;1;;;1;4;0;0
"CASA E APPARTAMENTO PER VACANZE "" RESIDENZA VICARI""";Categoria 2;VIA DEI CAPPELLARI, 73;Mun. I;Casa Vacanze NON impr (Appartamento);2;1;;;;;3;4;0;0
"CASA E APPARTAMENTO PER VACANZE ""ST.PETER SWEET DREAM";Categoria 2;VIA FEDERICO PATETTA, 7;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
GROTTA PINTA CASA E APPARTAMENTO PER VACANZE -INT.6;Categoria 2;VIA DI GROTTA PINTA, 10;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
