INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
CASA E APPARTAMENTO PER VACANZE SIMONA;Categoria 1;VIALE GUGLIELMO MASSAIA, 22;Mun. VIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE FRATTINA TOWNHOUSE;Categoria 1;VIA FRATTINA, 34;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
BIBIINROME CASA E APPARTAMENTO PER VACANZE;Categoria 1;VIALE AMELIA, 6;Mun. VII;Casa Vacanze NON impr (Appartamento);;2;1;;;;3;7;0;0
"CASA E APPARTAMENTO PER VACANZE ""THE FLOWER MARKET""";Categoria 2;VIA RODI, 8;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASETTA DEI SOGNI;Categoria 1;VIA FEDERICO GUARDUCCI, 14;Mun. XI;Casa Vacanze NON impr (Appartamento);;;3;;;;3;9;0;0
FABULA ROMA GUEST HOUSE;Categoria 2;VIA PRENESTINA, 42;Mun. V;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA ROMA LUXORY APARTMENT AND ROOMS HOLIDAY IN ROME;Categoria 2;VIA MILANO, 49;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
coliseum art - casa e appartamento per vacanze;Categoria 2;VIA MERULANA, 137;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
ESPRESSO HOUSE;Categoria 2;VIA VICENZA, 26;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
APPARTAMENTO GRACCHI casa e appartamento per vacanze;Categoria 1;VIA DEI GRACCHI, 15;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
GREEN BIJOU;Categoria 2;VIA RICCARDO GRAZIOLI LANTE, 68;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
CASA E APPARTAMENTO PER VACANZE A CASA DI ROSA;Categoria 2;VIA DELLA STAZIONE DI S. PIETRO, 53;Mun. XIII;Casa Vacanze NON impr (Appartamento);2;1;;;;;3;4;0;0
