Municipio;Codice scuola;Tipo scuola;Natura giuridica;Tipologia;Nome scuola;Indirizzo;Telefono;Orario entrata/uscita;Corsi attivi;Totale capienza;Totale iscritti;Iscritti maschi;Iscritti femmine;Piccoli;Medi;Grandi;Iscritti > 48 mesi;Iscritti <= 48 mesi;Iscritti italiani;Iscritti non italiani
4;3709;NIDO;COMUNALE;;LA COCCINELLA GIALLA;VIA PERGOLA 14;06/4103267;08:00 / 16:30;3;69;68;36;32;11;30;27;0;68;57;11
4;5578;NIDO;PRIVATO;Convenzione;LA FARFALLA;PIAZZA RICCARDO BALSAMO CRIVELLI 66;06/43562762;08:00 / 16:30;2;26;26;14;12;0;13;13;0;26;26;0
4;3715;NIDO;COMUNALE;;LA GIOSTRA;VIA SILVIO NEGRO 39;06/4391169;08:00 / 16:30;3;69;55;27;28;12;23;20;0;55;44;11
4;3713;NIDO;COMUNALE;;LA GIRANDOLA;VIA DEL PODERE ROSA 116;06/8277483;08:00 / 16:30;3;69;69;39;30;17;25;27;0;69;63;6
4;3706;NIDO;COMUNALE;;LA MONGOLFIERA MAGICA;VIALE BATTISTA BARDANZELLU 34;06/40819546;08:00 / 16:30;3;69;67;33;34;15;26;26;0;67;66;1
4;3711;NIDO;COMUNALE;;L'ALTALENA;VIA ALBERTO POLLIO ;06/43252719;08:00 / 16:30;3;62;48;27;21;12;17;19;0;48;42;6
4;3708;NIDO;COMUNALE;;L'AQUILONE ROSSO;VIA RIVISONDOLI 6;06/4073170;08:00 / 16:30;3;46;44;23;21;10;19;15;0;44;28;16
4;3705;NIDO;COMUNALE;;L'ELEFANTINO ELMER;VIA DEL FRANTOIO 52;06/40501995;08:00 / 16:30;3;46;45;23;22;12;16;17;0;45;44;1
4;5713;NIDO;PRIVATO;Convenzione;L'ISOLA DI NIKI;VIA NAZARENO GIANNI 9;06/41409285;08:00 / 16:30;3;33;31;13;18;9;12;10;0;31;31;0
4;3707;NIDO;COMUNALE;;LO SCARABOCCHIO BLU;VIA NINO TAMASSIA 33;06/41229312;08:00 / 16:30;3;69;58;27;31;13;20;25;0;58;55;3
