Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Adulticida;Adicip;Amplat;Aquacyp;Aquakhotrine;Aquapy;Bifemite;Bio-Amplat;Bio Revanol;Boxtar;Cipekill EC;Cipertrin T;Ciperwall;Cipex 10E;Crackdown Rapid;Cymina Plus;Cymina Ultra Tec;Cyperbase;Deadyna;Decapy flow;Deltabios;Deltacid 25P;Deltakill flow;Deltasect;Delta Super;Deltrin flow;Ekoset;Etocinque;Exit 100;Fendona;Fenthrin;Garban;K-othrine AL;K othrine flow 25;Microsin;Microthrin;Nexa;Nurelle;Permebase;Permeplus;Permesol;Permex 22E;Pertrin L;Pertrin S;Piretrum micro;Pluricid;Romal 65;Rothryn 200;Rothryn 50;Sintores;Solfac;Tator;Tetracip Zapi;Tetraperm ABD;Veloxidin;Wacip 1000;Zamho;Larvicida;Aedex;Altogran;Aqua-larv;Aquatain;Baycidal WP 25;Device TB2;Diflox cpr.;Diflox flow.;DuDim SC15;DuDim TB2;Flubex;Green Larv;Juvenox sc 15;Larvistop;No-Larv;Porter;Proxilar com.;Roltab;Sandokan 7335;Skeetal;Sumilarv;Vectobac DT;Vectobac G;Vectobac 12 AS;Vectomax;Toolex;;Cipermetrina (adulticida);Tetrametrina (adulticida);Diflubenzuron (Larvicida);Pyriproxyfen (Larvicida);Non Specificato
Via Voltaire 36;00137;RM;Roma;3;Italia;Larvicida e Adulticida;;;mag-16;ott-16;;;Mensile;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Monte Grimano 30;00138;RM;Roma;3;Italia;Larvicida e Adulticida;;;mag-16;ott-16;;;Mensile;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Orazio Console 140;00128;RM;Roma;9;Italia;Larvicida e Adulticida;;;mag-16;set-16;mag-16;set-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
Via Cesare Bazzani 170;00128;RM;Roma;9;Italia;Larvicida e Adulticida;;;mag-16;set-16;mag-16;set-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
Via Po 43;00198;RM;Roma;2;Italia;Larvicida;6;;apr-16;set-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
Via Po 45;00198;RM;Roma;2;Italia;Larvicida;6;;apr-16;set-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
Via Ercole Rosa 8;00153;RM;Roma;1;Italia;Larvicida;6;;apr-16;set-16;;;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
Via Beata Vergine del Carmelo 97;00144;RM;Roma;9;Italia;Adulticida;2;3;mag-16;lug-16;ago-16;ott-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giarre 111;00133;RM;Roma;7;Italia;Larvicida e Adulticida;;;mag-16;set-16;mag-16;set-16;4/5 settimane;4/5 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
Via dei Quintili 47;00175;RM;Roma;7;Italia;Larvicida e Adulticida;2;3;apr-16;mag-16;giu-16;nov-16;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
Largo Castel Bolognese 10;00128;RM;Roma;12;Italia;Larvicida e Adulticida;;;mag-16;set-16;mag-16;set-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
Via Nicola Stame 23-33;00128;RM;Roma;9;Italia;Larvicida e Adulticida;;;mag-16;set-16;mag-16;set-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
Via Orazio Console 5-7;00128;RM;Roma;9;Italia;Larvicida e Adulticida;;;mag-16;set-16;mag-16;set-16;Mensile;Mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
